customer_number,predicted_probability
445420,0.055370905
585604,0.04033735
888824,0.031789076
816820,0.04026573
542716,0.07782054
937852,0.03505458
434084,0.057317533
230861,0.030234965
159684,0.33552262
274159,0.076560564
415073,0.10431089
839604,0.81438506
222848,0.060398296
746851,0.05280702
359083,0.04093124
764740,0.12505692
532666,0.09642832
542489,0.03899365
683800,0.12779412
393880,0.04029895
346443,0.16044463
722690,0.036370564
797639,0.07014449
974186,0.3567392
774649,0.07247245
482188,0.18554002
312516,0.061661847
363861,0.0825141
714683,0.12991494
708370,0.0779492
371413,0.040768567
630217,0.030873276
571146,0.14474599
962328,0.06118674
470375,0.040688895
945629,0.03518719
179592,0.027916595
744791,0.10880695
289641,0.25447246
595829,0.085396126
620262,0.2517125
738283,0.05689199
288862,0.383204
854233,0.03865691
401365,0.04433202
671370,0.12922336
307359,0.06774682
845744,0.04361297
833496,0.10181351
889877,0.06442025
600454,0.4082856
595366,0.06403437
299980,0.21834768
316195,0.075468116
892132,0.10275752
429227,0.3266203
568864,0.08933928
453514,0.033847403
655724,0.06537499
405125,0.11440734
357624,0.06921832
706564,0.07388724
328177,0.116210595
322194,0.06279226
415259,0.07273091
737899,0.27134085
934827,0.040160093
932482,0.07645381
452141,0.050781988
252326,0.048394397
543165,0.029058378
961597,0.0586337
529109,0.03921319
830645,0.11971587
628282,0.057508346
989235,0.29557467
779931,0.041455507
171152,0.21726215
467849,0.048317846
424751,0.08448265
335651,0.059366312
960826,0.053311143
307645,0.065903485
126669,0.03311455
876278,0.06477465
464099,0.069652356
682185,0.046529494
912996,0.048370585
540820,0.05247056
667534,0.03290392
232173,0.13011327
503340,0.046796553
524302,0.19366734
722557,0.034657195
217598,0.06191084
169002,0.1238786
651324,0.14026658
663126,0.04185593
621228,0.0618144
963929,0.032477107
809507,0.07833722
453945,0.06482581
743732,0.46718535
385403,0.4940987
241287,0.36969626
737937,0.12927604
125159,0.04025954
122370,0.043557063
814180,0.04383567
945339,0.061171357
364136,0.04978617
343072,0.12927692
938465,0.2945048
149951,0.0594506
222232,0.05354952
832629,0.04954452
296781,0.0640083
748715,0.04643629
604027,0.1538193
859866,0.05843153
792616,0.02482394
465754,0.042162932
678835,0.051961463
998270,0.3709869
166767,0.033067677
739982,0.09164095
806252,0.03738906
921673,0.15481424
611081,0.17639075
818716,0.080706574
230739,0.03468509
216209,0.17234185
516335,0.035354305
644791,0.058868542
176058,0.08713702
979898,0.034289014
503495,0.046155203
878173,0.04337748
722870,0.13332762
724786,0.03186596
659692,0.10944836
159203,0.026924988
155945,0.16803028
277862,0.04540789
873897,0.079302505
