iter	Passed	Remaining
0	161	37238
1	173	20000
2	190	14568
3	201	11496
4	215	9771
5	229	8626
6	244	7868
7	260	7306
8	276	6858
9	293	6506
10	309	6210
11	323	5937
12	339	5717
13	350	5463
14	367	5312
15	383	5179
16	398	5039
17	413	4913
18	430	4824
19	445	4718
20	460	4628
21	475	4540
22	490	4458
23	506	4387
24	521	4318
25	537	4255
26	551	4189
27	567	4131
28	582	4075
29	597	4023
30	611	3963
31	627	3923
32	642	3875
33	657	3827
34	672	3782
35	681	3708
36	694	3662
37	709	3619
38	723	3581
39	739	3550
40	755	3518
41	772	3494
42	789	3469
43	805	3441
44	821	3412
45	830	3357
46	844	3325
47	859	3294
48	874	3264
49	890	3240
50	905	3214
51	921	3189
52	936	3163
53	953	3142
54	968	3117
55	981	3083
56	992	3048
57	1005	3016
58	1021	2994
59	1036	2972
60	1052	2951
61	1067	2927
62	1081	2902
63	1098	2882
64	1113	2862
65	1127	2835
66	1142	2813
67	1156	2789
68	1171	2768
69	1188	2749
70	1202	2727
71	1219	2710
72	1233	2686
73	1249	2666
74	1260	2637
75	1275	2617
76	1287	2592
77	1300	2566
78	1315	2547
79	1331	2530
80	1345	2509
81	1357	2482
82	1369	2458
83	1383	2437
84	1398	2418
85	1415	2402
86	1426	2377
87	1441	2359
88	1456	2339
89	1469	2318
90	1485	2301
91	1499	2282
92	1514	2263
93	1524	2238
94	1538	2218
95	1555	2203
96	1567	2181
97	1580	2161
98	1595	2143
99	1612	2129
100	1629	2113
101	1643	2095
102	1652	2069
103	1668	2053
104	1681	2033
105	1697	2017
106	1709	1996
107	1718	1972
108	1732	1955
109	1745	1936
110	1762	1921
111	1778	1905
112	1792	1888
113	1808	1871
114	1817	1848
115	1832	1832
116	1844	1813
117	1860	1797
118	1873	1779
119	1887	1762
120	1902	1745
121	1916	1728
122	1931	1711
123	1947	1695
124	1962	1679
125	1975	1661
126	1985	1641
127	1999	1624
128	2014	1608
129	2029	1592
130	2044	1575
131	2058	1559
132	2070	1541
133	2086	1525
134	2101	1509
135	2110	1489
136	2124	1473
137	2139	1457
138	2154	1441
139	2171	1426
140	2182	1408
141	2196	1392
142	2211	1376
143	2224	1359
144	2241	1344
145	2257	1329
146	2273	1314
147	2289	1299
148	2304	1283
149	2317	1266
150	2334	1252
151	2348	1236
152	2364	1220
153	2378	1204
154	2394	1189
155	2410	1174
156	2425	1158
157	2442	1143
158	2459	1129
159	2474	1113
160	2489	1097
161	2505	1082
162	2522	1067
163	2539	1052
164	2554	1037
165	2567	1020
166	2583	1005
167	2599	990
168	2613	974
169	2628	958
170	2644	943
171	2660	928
172	2677	912
173	2693	897
174	2705	881
175	2721	865
176	2736	850
177	2751	834
178	2768	819
179	2784	804
180	2797	788
181	2813	772
182	2829	757
183	2844	741
184	2858	726
185	2874	710
186	2891	695
187	2907	680
188	2924	665
189	2942	650
190	2957	634
191	2971	619
192	2986	603
193	3002	588
194	3016	572
195	3031	556
196	3046	541
197	3063	525
198	3078	510
199	3092	494
200	3107	479
201	3123	463
202	3138	448
203	3152	432
204	3167	417
205	3182	401
206	3199	386
207	3213	370
208	3229	355
209	3245	340
210	3260	324
211	3276	309
212	3293	293
213	3307	278
214	3322	262
215	3336	247
216	3352	231
217	3368	216
218	3382	200
219	3397	185
220	3414	169
221	3429	154
222	3446	139
223	3461	123
224	3477	108
225	3493	92
226	3508	77
227	3523	61
228	3537	46
229	3554	30
230	3569	15
231	3585	0
