iter	Passed	Remaining
0	73	40251
1	141	38651
2	192	34921
3	255	34712
4	455	49434
5	679	61348
6	808	62515
7	845	57059
8	874	52344
9	894	48117
10	915	44695
11	938	41912
12	964	39687
13	991	37803
14	1021	36303
15	1044	34740
16	1066	33311
17	1086	32005
18	1134	31597
19	1189	31390
20	1220	30641
21	1242	29705
22	1287	29398
23	1316	28732
24	1335	27937
25	1355	27216
26	1382	26675
27	1402	26053
28	1424	25489
29	1449	25031
30	1469	24499
31	1487	23993
32	1510	23574
33	1532	23160
34	1552	22755
35	1575	22413
36	1593	22007
37	1613	21652
38	1633	21317
39	1652	20980
40	1672	20683
41	1694	20409
42	1715	20151
43	1735	19884
44	1758	19658
45	1794	19583
46	1813	19327
47	1832	19091
48	1853	18873
49	1873	18655
50	1892	18438
51	1912	18243
52	1933	18056
53	1952	17862
54	1971	17675
55	1992	17501
56	2012	17334
57	2036	17205
58	2054	17027
59	2072	16856
60	2091	16697
61	2109	16536
62	2129	16390
63	2154	16295
64	2172	16146
65	2188	15983
66	2206	15843
67	2224	15704
68	2242	15569
69	2260	15433
70	2278	15305
71	2297	15190
72	2319	15095
73	2338	14981
74	2361	14895
75	2385	14818
76	2403	14699
77	2422	14596
78	2441	14491
79	2459	14389
80	2477	14282
81	2496	14186
82	2513	14083
83	2531	13982
84	2550	13892
85	2567	13792
86	2585	13701
87	2604	13613
88	2621	13521
89	2642	13447
90	2660	13360
91	2677	13270
92	2695	13187
93	2713	13106
94	2735	13046
95	2756	12978
96	2775	12904
97	2796	12843
98	2816	12771
99	2834	12699
100	2852	12624
101	2871	12557
102	2889	12482
103	2907	12414
104	2926	12348
105	2943	12275
106	2961	12204
107	2980	12144
108	3001	12088
109	3019	12024
110	3039	11967
111	3057	11901
112	3074	11836
113	3093	11776
114	3109	11708
115	3128	11650
116	3145	11587
117	3162	11523
118	3181	11467
119	3199	11410
120	3217	11354
121	3232	11285
122	3250	11231
123	3269	11180
124	3289	11131
125	3306	11074
126	3321	11011
127	3340	10961
128	3359	10913
129	3376	10858
130	3394	10805
131	3415	10763
132	3435	10718
133	3453	10668
134	3471	10620
135	3491	10576
136	3509	10528
137	3525	10473
138	3547	10438
139	3566	10394
140	3586	10351
141	3607	10313
142	3626	10270
143	3647	10233
144	3665	10187
145	3682	10139
146	3700	10095
147	3717	10048
148	3736	10006
149	3756	9967
150	3776	9929
151	3795	9887
152	3813	9845
153	3831	9801
154	3847	9755
155	3866	9715
156	3884	9673
157	3904	9636
158	3929	9613
159	3949	9576
160	3968	9538
161	3988	9502
162	4007	9465
163	4025	9426
164	4042	9384
165	4059	9342
166	4078	9304
167	4097	9268
168	4116	9232
169	4136	9197
170	4154	9160
171	4173	9124
172	4192	9088
173	4211	9051
174	4229	9014
175	4248	8980
176	4268	8946
177	4288	8914
178	4307	8880
179	4328	8849
180	4344	8809
181	4363	8774
182	4382	8740
